cycle,sm_amp_pct,sm_peak_pct,sm_valley_pct,adc_amp_pct,adc_peak_pct,adc_valley_pct
1,100.0,100.0,100.0,100.0,100.0,100.0
2,98.3963,90.6612,102.5332,97.7411,90.1375,101.8796
3,98.9898,88.2851,104.7148,98.5972,88.4109,104.1414
4,99.701,88.2999,105.7985,98.8963,87.5329,105.0812
5,100.4313,88.9851,106.5529,100.9077,89.962,106.8652
6,101.8546,90.6398,107.8524,102.001,91.1618,107.9006
7,102.2237,93.1952,107.0523,101.8257,92.0398,107.152
8,103.0826,96.092,106.8213,102.8571,95.8443,106.6741
9,103.0487,95.8059,106.9222,103.28,96.693,106.8652
10,104.028,96.968,107.8038,104.198,96.8686,108.1873
11,103.8286,96.2239,107.8956,103.7029,96.5174,107.6139
12,104.6565,98.1283,108.1478,104.4353,98.5953,107.6139
13,105.0419,99.6555,107.9227,104.3837,99.122,107.2475
14,105.6145,101.2754,107.9351,105.7246,100.8487,108.3785
15,105.6408,102.1513,107.507,105.3636,101.9023,107.2475
16,106.2245,103.4507,107.7079,106.6426,103.2777,108.474
17,106.3089,104.1175,107.4809,105.7762,102.2242,107.7095
