Time_s,thisOne_Raw,thisOne_DeltaPct
0.000000,38.798574,0.055912
0.330599,38.733613,-0.111613
0.661154,38.776292,-0.001550
0.991651,38.736074,-0.105266
1.322143,38.766682,-0.026333
1.652592,38.728520,-0.124746
1.983072,38.714134,-0.161847
2.313610,38.780449,0.009169
2.644109,38.738042,-0.100192
2.974594,38.727369,-0.127716
3.305084,46.767425,20.606425
3.635615,49.456530,27.541240
3.966096,48.990643,26.339785
4.296538,49.025781,26.430400
4.627031,48.954310,26.246086
4.957522,48.864327,26.014034
5.288014,48.926998,26.175653
5.618575,48.869174,26.026532
5.949128,48.753347,25.727832
6.279694,48.757776,25.739253
6.610212,42.370012,9.266134
6.940742,39.562682,2.026436
7.271191,39.308279,1.370367
7.601711,39.331592,1.430489
7.932148,39.202062,1.096450
8.262666,39.117451,0.878250
8.593168,38.997860,0.569843
8.923636,38.979861,0.523426
9.254101,38.903981,0.327741
9.584602,38.933608,0.404145
9.915050,38.857917,0.208949
10.245510,38.992692,0.556513
10.576010,39.085496,0.795842
10.906487,39.239990,1.194260
11.236945,39.366527,1.520582
11.567427,39.522306,1.922312
11.897886,39.778221,2.582280
12.228325,39.956415,3.041816
12.558848,39.910636,2.923759
12.889333,40.164495,3.578424
13.219824,40.278689,3.872915
13.550294,40.524564,4.506991
13.880800,40.727052,5.029177
14.211264,41.051123,5.864909
14.541699,41.321538,6.562272
14.872155,41.595547,7.268902
15.202607,41.784060,7.755048
15.533060,42.120094,8.621632
15.863558,42.649259,9.986273
16.194048,43.137182,11.244554
16.524591,43.691476,12.673998
16.855019,43.926014,13.278837
17.185498,44.538658,14.858758
17.515970,44.843439,15.644745
17.846484,45.145854,16.424630
18.177025,45.629209,17.671132
18.507496,45.652579,17.731400
18.838057,46.090465,18.860644
19.168564,45.967426,18.543345
19.499072,46.366632,19.572838
19.829538,46.928473,21.021746
20.160029,47.281001,21.930865
20.490597,47.378873,22.183262
20.821109,47.801942,23.274295
21.151579,47.695048,22.998633
21.482133,47.999564,23.783935
21.812644,48.120275,24.095230
22.143149,48.616643,25.375292
22.473688,48.430434,24.895085
22.804249,48.611848,25.362925
23.134759,48.666256,25.503236
23.465287,48.537574,25.171384
23.795832,48.380549,24.766440
24.126319,48.369345,24.737545
24.456870,48.354243,24.698601
24.787406,48.404432,24.828030
25.117883,48.489562,25.047568
25.448443,48.528502,25.147988
25.778942,48.459118,24.969059
26.109424,48.376532,24.756079
26.439928,48.237493,24.397519
26.770441,48.013925,23.820971
27.100966,47.993775,23.769007
27.431496,47.803346,23.277917
27.761979,47.617346,22.798249
28.092505,47.496268,22.486008
28.422952,47.318815,22.028381
28.753452,47.170837,21.646767
29.083905,46.980174,21.155075
29.414415,46.713826,20.468203
29.744909,46.388205,19.628473
30.075433,46.307795,19.421106
30.405969,45.737032,17.949193
30.736429,45.599025,17.593292
31.066930,45.236330,16.657955
31.397399,44.707811,15.294978
31.727811,44.385865,14.464728
32.058280,43.700384,12.696970
32.388736,43.394552,11.908275
32.719231,43.216960,11.450289
33.049656,42.976854,10.831093
33.380190,42.595933,9.848751
33.710688,42.055355,8.454678
34.041192,41.758880,7.690113
34.371669,41.815996,7.837407
34.702091,41.397938,6.759295
35.032566,41.213620,6.283966
35.363054,40.811688,5.247442
35.693569,40.537964,4.541546
36.024017,40.399368,4.184128
36.354487,39.957459,3.044508
36.684981,39.702746,2.387639
37.015440,39.373506,1.538577
37.345887,38.992160,0.555143
37.676345,38.834060,0.147425
38.006790,38.808874,0.082474
38.337290,38.698033,-0.203370
38.667711,38.654930,-0.314525
38.998133,38.709016,-0.175046
39.328611,38.730924,-0.118547
39.659093,38.683962,-0.239655
39.989556,38.687170,-0.231383
40.320093,38.619217,-0.406625
40.650539,38.678174,-0.254583
40.981036,38.583737,-0.498121
41.311528,38.611106,-0.427541
41.641975,38.591570,-0.477923
41.972453,38.606329,-0.439859
42.302936,38.550517,-0.583792
42.633373,38.484872,-0.753079
42.963850,38.543570,-0.601707
43.294343,38.530202,-0.636181
43.624812,38.454442,-0.831556
43.955285,38.408024,-0.951261
44.285704,38.447672,-0.849013
44.616206,38.383742,-1.013879
44.946677,38.460901,-0.814898
45.277140,38.505453,-0.700006
45.607588,38.390373,-0.996780
45.938030,38.367306,-1.056266
46.268503,38.426516,-0.903571
46.598959,38.360271,-1.074408
46.929418,38.364775,-1.062792
47.259870,38.387336,-1.004612
47.342495,38.366566,-1.058175
